date,product_id,product_name,category,units_sold,selling_price,promotion,discount,holiday,store_location,stock_available
2022-01-01,9,Notebook A4,Stationery,217,4.99,False,0,True,Los Angeles,569
2022-01-01,12,Markers Pack,Stationery,73,6.99,False,0,False,Houston,175
2022-01-01,3,USB-C Hub,Electronics,23,49.99,False,0,False,Houston,34
2022-01-01,8,Bookshelf,Furniture,13,199.99,False,0,False,Phoenix,51
2022-01-02,7,Standing Desk,Furniture,9,599.99,False,0,False,Houston,39
2022-01-03,10,Pen Set,Stationery,111,12.99,False,0,False,New York,244
2022-01-03,1,Laptop Pro 15,Electronics,24,974.99,True,25,False,Los Angeles,49
2022-01-03,5,Monitor 27inch,Electronics,12,399.99,False,0,False,Houston,33
2022-01-05,12,Markers Pack,Stationery,78,6.99,False,0,False,Houston,139
2022-01-05,1,Laptop Pro 15,Electronics,6,1299.99,False,0,False,Los Angeles,16
2022-01-06,15,Desk Lamp,Accessories,24,34.99,False,0,False,Houston,36
2022-01-07,12,Markers Pack,Stationery,81,6.99,False,0,False,Houston,328
2022-01-07,10,Pen Set,Stationery,108,12.99,False,0,True,Chicago,370
2022-01-07,2,Wireless Mouse,Electronics,64,29.99,False,0,False,Phoenix,154
2022-01-07,4,Mechanical Keyboard,Electronics,29,149.99,False,0,False,New York,136
2022-01-08,8,Bookshelf,Furniture,22,199.99,False,0,True,New York,71
2022-01-08,12,Markers Pack,Stationery,62,6.99,False,0,False,Chicago,223
2022-01-09,2,Wireless Mouse,Electronics,86,29.99,False,0,True,Los Angeles,137
2022-01-09,1,Laptop Pro 15,Electronics,11,1299.99,False,0,False,New York,53
2022-01-09,8,Bookshelf,Furniture,6,199.99,False,0,False,Los Angeles,28
2022-01-09,6,Office Chair,Furniture,12,299.99,False,0,False,Phoenix,23
2022-01-10,13,Backpack Pro,Accessories,18,79.99,False,0,False,New York,88
2022-01-10,10,Pen Set,Stationery,98,12.99,False,0,False,Los Angeles,177
2022-01-10,11,Printer Paper,Stationery,221,8.99,False,0,True,Phoenix,846
2022-01-10,1,Laptop Pro 15,Electronics,8,1299.99,False,0,False,New York,25
2022-01-10,7,Standing Desk,Furniture,8,599.99,False,0,False,Houston,29
2022-01-10,10,Pen Set,Stationery,84,12.99,False,0,False,Houston,406
2022-01-10,2,Wireless Mouse,Electronics,43,29.99,False,0,False,New York,87
2022-01-11,11,Printer Paper,Stationery,111,8.99,False,0,False,Chicago,535
2022-01-11,1,Laptop Pro 15,Electronics,22,1299.99,True,0,False,Houston,51
2022-01-11,10,Pen Set,Stationery,93,12.99,False,0,False,Chicago,446
2022-01-11,2,Wireless Mouse,Electronics,127,26.99,True,10,False,Chicago,634
2022-01-11,9,Notebook A4,Stationery,171,4.99,False,0,False,Chicago,438
2022-01-11,7,Standing Desk,Furniture,10,599.99,False,0,False,Phoenix,20
2022-01-11,11,Printer Paper,Stationery,276,8.99,True,0,False,Los Angeles,652
2022-01-12,9,Notebook A4,Stationery,186,4.49,True,10,False,Phoenix,913
2022-01-12,10,Pen Set,Stationery,81,12.99,False,0,False,Houston,326
2022-01-12,1,Laptop Pro 15,Electronics,5,1299.99,False,0,False,New York,19
2022-01-12,8,Bookshelf,Furniture,11,199.99,False,0,False,New York,41
2022-01-12,10,Pen Set,Stationery,143,12.99,False,0,False,Chicago,287
2022-01-13,1,Laptop Pro 15,Electronics,12,1299.99,False,0,False,Chicago,43
2022-01-13,1,Laptop Pro 15,Electronics,12,1299.99,False,0,False,Phoenix,45
2022-01-13,15,Desk Lamp,Accessories,25,34.99,False,0,False,New York,117
2022-01-13,6,Office Chair,Furniture,9,299.99,False,0,False,Los Angeles,14
2022-01-14,5,Monitor 27inch,Electronics,21,399.99,True,0,False,Phoenix,68
2022-01-14,1,Laptop Pro 15,Electronics,12,1299.99,False,0,False,Houston,48
2022-01-15,5,Monitor 27inch,Electronics,20,399.99,False,0,False,Phoenix,81
2022-01-15,11,Printer Paper,Stationery,202,8.99,False,0,False,Phoenix,753
2022-01-15,14,Water Bottle,Accessories,56,19.99,False,0,False,Houston,193
2022-01-16,10,Pen Set,Stationery,289,9.74,True,25,False,Phoenix,977
2022-01-16,12,Markers Pack,Stationery,124,6.99,False,0,False,New York,338
2022-01-16,13,Backpack Pro,Accessories,21,79.99,False,0,False,Phoenix,33
2022-01-16,1,Laptop Pro 15,Electronics,10,1299.99,False,0,True,Houston,30
2022-01-16,8,Bookshelf,Furniture,12,199.99,False,0,False,Phoenix,30
2022-01-16,4,Mechanical Keyboard,Electronics,37,149.99,False,0,False,Houston,169
2022-01-16,6,Office Chair,Furniture,16,299.99,False,0,False,Chicago,63
2022-01-16,4,Mechanical Keyboard,Electronics,26,149.99,False,0,False,Los Angeles,68
2022-01-16,13,Backpack Pro,Accessories,38,79.99,False,0,False,Phoenix,177
2022-01-17,1,Laptop Pro 15,Electronics,26,1234.99,True,5,False,Chicago,108
2022-01-17,14,Water Bottle,Accessories,102,19.99,False,0,False,Houston,444
2022-01-17,5,Monitor 27inch,Electronics,16,399.99,False,0,False,Chicago,29
2022-01-17,6,Office Chair,Furniture,19,239.99,True,20,False,Phoenix,59
2022-01-17,7,Standing Desk,Furniture,5,599.99,False,0,False,Chicago,24
2022-01-17,11,Printer Paper,Stationery,152,8.99,False,0,False,Los Angeles,612
2022-01-18,11,Printer Paper,Stationery,264,8.54,True,5,False,New York,513
2022-01-18,6,Office Chair,Furniture,6,299.99,False,0,False,Los Angeles,13
2022-01-18,2,Wireless Mouse,Electronics,30,29.99,False,0,False,Chicago,120
2022-01-18,1,Laptop Pro 15,Electronics,16,1299.99,False,0,False,Phoenix,77
2022-01-19,5,Monitor 27inch,Electronics,9,399.99,False,0,False,Chicago,28
2022-01-19,6,Office Chair,Furniture,4,299.99,False,0,False,Phoenix,18
2022-01-19,4,Mechanical Keyboard,Electronics,26,149.99,False,0,False,Los Angeles,129
2022-01-19,2,Wireless Mouse,Electronics,83,26.99,True,10,False,Phoenix,154
2022-01-19,2,Wireless Mouse,Electronics,79,29.99,False,0,False,Houston,301
2022-01-19,10,Pen Set,Stationery,140,12.99,False,0,False,Chicago,561
2022-01-20,6,Office Chair,Furniture,10,299.99,False,0,False,Houston,31
2022-01-20,14,Water Bottle,Accessories,98,19.99,False,0,False,Houston,450
2022-01-20,15,Desk Lamp,Accessories,47,34.99,False,0,True,Phoenix,139
2022-01-21,7,Standing Desk,Furniture,8,599.99,False,0,True,New York,39
2022-01-21,15,Desk Lamp,Accessories,32,34.99,False,0,False,Los Angeles,102
2022-01-22,1,Laptop Pro 15,Electronics,12,1299.99,False,0,True,Los Angeles,59
2022-01-22,7,Standing Desk,Furniture,11,599.99,False,0,False,Los Angeles,43
2022-01-22,13,Backpack Pro,Accessories,24,79.99,False,0,False,Los Angeles,37
2022-01-22,15,Desk Lamp,Accessories,73,26.24,True,25,False,Houston,341
2022-01-23,4,Mechanical Keyboard,Electronics,23,149.99,False,0,False,Phoenix,74
2022-01-23,3,USB-C Hub,Electronics,34,49.99,False,0,False,Los Angeles,109
2022-01-23,6,Office Chair,Furniture,12,299.99,False,0,False,Los Angeles,42
2022-01-24,4,Mechanical Keyboard,Electronics,27,149.99,False,0,False,Phoenix,64
2022-01-24,10,Pen Set,Stationery,97,12.99,False,0,False,Phoenix,319
2022-01-24,8,Bookshelf,Furniture,17,169.99,True,15,False,Chicago,49
2022-01-24,3,USB-C Hub,Electronics,53,49.99,False,0,False,New York,224
2022-01-25,12,Markers Pack,Stationery,89,6.99,False,0,False,New York,278
2022-01-25,10,Pen Set,Stationery,147,12.34,True,5,False,Phoenix,590
2022-01-25,13,Backpack Pro,Accessories,36,79.99,True,0,False,Chicago,56
2022-01-25,2,Wireless Mouse,Electronics,33,29.99,False,0,False,Los Angeles,102
2022-01-25,11,Printer Paper,Stationery,135,8.99,False,0,False,Los Angeles,326
2022-01-26,9,Notebook A4,Stationery,203,4.99,False,0,False,Houston,761
2022-01-26,8,Bookshelf,Furniture,14,199.99,False,0,False,Houston,56
2022-01-26,7,Standing Desk,Furniture,1,599.99,False,0,False,Phoenix,3
2022-01-26,4,Mechanical Keyboard,Electronics,30,149.99,False,0,False,Chicago,126
2022-01-26,8,Bookshelf,Furniture,12,199.99,False,0,False,Los Angeles,52
2022-01-26,7,Standing Desk,Furniture,7,599.99,False,0,False,Chicago,17
2022-01-27,8,Bookshelf,Furniture,11,199.99,False,0,False,Phoenix,25
2022-01-27,2,Wireless Mouse,Electronics,44,29.99,False,0,False,Phoenix,144
2022-01-27,15,Desk Lamp,Accessories,45,34.99,False,0,False,Chicago,137
2022-01-27,4,Mechanical Keyboard,Electronics,12,149.99,False,0,True,Los Angeles,22
2022-01-27,13,Backpack Pro,Accessories,26,79.99,False,0,False,Houston,84
2022-01-27,5,Monitor 27inch,Electronics,25,299.99,True,25,True,New York,104
2022-01-27,11,Printer Paper,Stationery,164,8.99,False,0,False,Phoenix,356
2022-01-27,12,Markers Pack,Stationery,91,6.99,False,0,False,Chicago,285
2022-01-28,8,Bookshelf,Furniture,9,199.99,False,0,False,Chicago,19
2022-01-28,6,Office Chair,Furniture,14,299.99,False,0,False,Houston,38
2022-01-28,9,Notebook A4,Stationery,158,4.99,False,0,False,Chicago,663
2022-01-29,14,Water Bottle,Accessories,137,19.99,False,0,False,Phoenix,435
2022-01-29,11,Printer Paper,Stationery,106,8.99,False,0,False,Chicago,294
2022-01-29,6,Office Chair,Furniture,5,299.99,False,0,False,New York,24
2022-01-29,4,Mechanical Keyboard,Electronics,33,149.99,False,0,False,New York,126
2022-01-29,3,USB-C Hub,Electronics,48,49.99,False,0,False,Chicago,82
2022-01-29,1,Laptop Pro 15,Electronics,12,1299.99,False,0,False,Phoenix,22
2022-01-30,7,Standing Desk,Furniture,5,599.99,False,0,False,New York,21
2022-01-30,6,Office Chair,Furniture,9,299.99,False,0,False,Los Angeles,42
2022-01-30,4,Mechanical Keyboard,Electronics,32,149.99,False,0,False,New York,154
2022-01-30,11,Printer Paper,Stationery,248,8.99,False,0,False,Houston,947
2022-01-30,14,Water Bottle,Accessories,95,19.99,False,0,False,Phoenix,327
2022-01-30,10,Pen Set,Stationery,161,12.99,False,0,False,Houston,793
2022-01-30,4,Mechanical Keyboard,Electronics,43,134.99,True,10,False,Los Angeles,150
2022-01-30,9,Notebook A4,Stationery,213,4.99,False,0,False,Houston,589
2022-01-30,3,USB-C Hub,Electronics,72,49.99,False,0,False,Chicago,262
2022-01-30,1,Laptop Pro 15,Electronics,10,1299.99,False,0,False,New York,36
2022-01-31,2,Wireless Mouse,Electronics,78,23.99,True,20,False,Houston,352
2022-01-31,8,Bookshelf,Furniture,13,199.99,False,0,False,New York,64
2022-01-31,7,Standing Desk,Furniture,8,599.99,False,0,False,Chicago,14
2022-01-31,5,Monitor 27inch,Electronics,22,399.99,False,0,True,Los Angeles,96
2022-01-31,15,Desk Lamp,Accessories,24,34.99,False,0,False,Houston,77
2022-01-31,11,Printer Paper,Stationery,148,8.99,False,0,False,Phoenix,344
2022-01-31,13,Backpack Pro,Accessories,19,79.99,False,0,False,Chicago,49
2022-02-01,3,USB-C Hub,Electronics,47,49.99,False,0,False,Chicago,81
2022-02-01,10,Pen Set,Stationery,102,12.99,False,0,False,Houston,504
2022-02-01,12,Markers Pack,Stationery,62,5.94,True,15,False,Phoenix,184
2022-02-01,12,Markers Pack,Stationery,113,6.99,False,0,False,Los Angeles,553
2022-02-01,14,Water Bottle,Accessories,43,19.99,False,0,False,Phoenix,78
2022-02-01,3,USB-C Hub,Electronics,91,47.49,True,5,False,Chicago,391
2022-02-02,15,Desk Lamp,Accessories,54,29.74,True,15,False,Chicago,145
2022-02-02,5,Monitor 27inch,Electronics,13,399.99,False,0,False,New York,41
2022-02-02,8,Bookshelf,Furniture,9,199.99,False,0,False,Houston,37
2022-02-02,8,Bookshelf,Furniture,10,199.99,False,0,True,Phoenix,43
2022-02-02,4,Mechanical Keyboard,Electronics,26,149.99,False,0,False,Los Angeles,67
2022-02-02,3,USB-C Hub,Electronics,61,47.49,True,5,True,Los Angeles,162
2022-02-03,15,Desk Lamp,Accessories,19,34.99,False,0,False,Houston,36
2022-02-03,1,Laptop Pro 15,Electronics,15,1299.99,False,0,True,Houston,41
2022-02-03,9,Notebook A4,Stationery,150,4.99,False,0,False,Houston,435
2022-02-03,4,Mechanical Keyboard,Electronics,27,149.99,False,0,False,Phoenix,95
2022-02-04,2,Wireless Mouse,Electronics,93,29.99,False,0,False,Los Angeles,224
2022-02-04,7,Standing Desk,Furniture,4,599.99,False,0,False,New York,9
2022-02-04,5,Monitor 27inch,Electronics,8,399.99,False,0,False,Phoenix,23
2022-02-05,9,Notebook A4,Stationery,348,4.99,False,0,False,Los Angeles,1145
2022-02-05,12,Markers Pack,Stationery,64,6.99,False,0,False,Chicago,312
2022-02-05,12,Markers Pack,Stationery,107,6.99,False,0,False,Chicago,530
2022-02-05,14,Water Bottle,Accessories,112,19.99,False,0,False,New York,193
2022-02-05,15,Desk Lamp,Accessories,43,34.99,True,0,False,Los Angeles,189
2022-02-06,5,Monitor 27inch,Electronics,19,399.99,False,0,False,Houston,28
2022-02-06,11,Printer Paper,Stationery,241,8.99,False,0,False,New York,931
2022-02-06,6,Office Chair,Furniture,38,224.99,True,25,False,Los Angeles,184
2022-02-06,9,Notebook A4,Stationery,229,4.99,False,0,False,Phoenix,818
2022-02-06,6,Office Chair,Furniture,13,254.99,True,15,False,Phoenix,32
2022-02-07,8,Bookshelf,Furniture,4,199.99,False,0,False,Los Angeles,8
2022-02-07,13,Backpack Pro,Accessories,14,79.99,False,0,False,Houston,61
2022-02-07,2,Wireless Mouse,Electronics,132,22.49,True,25,False,Houston,623
2022-02-07,10,Pen Set,Stationery,78,12.99,False,0,False,New York,314
2022-02-08,8,Bookshelf,Furniture,3,199.99,False,0,False,Houston,4
2022-02-08,14,Water Bottle,Accessories,77,18.99,True,5,False,Chicago,196
2022-02-08,5,Monitor 27inch,Electronics,21,399.99,False,0,False,Chicago,76
2022-02-08,9,Notebook A4,Stationery,187,4.99,False,0,False,Chicago,335
2022-02-08,8,Bookshelf,Furniture,14,199.99,False,0,False,Phoenix,52
2022-02-08,10,Pen Set,Stationery,45,12.99,False,0,False,Phoenix,152
2022-02-08,10,Pen Set,Stationery,81,12.99,False,0,False,Los Angeles,160
2022-02-09,2,Wireless Mouse,Electronics,64,29.99,False,0,False,Chicago,290
2022-02-09,8,Bookshelf,Furniture,16,169.99,True,15,False,Los Angeles,70
2022-02-09,9,Notebook A4,Stationery,241,4.99,False,0,False,Houston,769
2022-02-09,2,Wireless Mouse,Electronics,56,29.99,False,0,False,Houston,270
2022-02-09,5,Monitor 27inch,Electronics,6,399.99,False,0,False,New York,22
